"weightGain" "protSource" "protLevel" "block"
107 "b" "h" "1"
96 "c" "h" "1"
112 "p" "h" "1"
83 "b" "l" "1"
87 "c" "l" "1"
90 "p" "l" "1"
102 "b" "h" "2"
72 "c" "h" "2"
100 "p" "h" "2"
82 "b" "l" "2"
70 "c" "l" "2"
94 "p" "l" "2"
102 "b" "h" "3"
76 "c" "h" "3"
102 "p" "h" "3"
85 "b" "l" "3"
95 "c" "l" "3"
86 "p" "l" "3"
93 "b" "h" "4"
70 "c" "h" "4"
93 "p" "h" "4"
63 "b" "l" "4"
71 "c" "l" "4"
63 "p" "l" "4"
111 "b" "h" "5"
79 "c" "h" "5"
101 "p" "h" "5"
72 "b" "l" "5"
75 "c" "l" "5"
81 "p" "l" "5"
128 "b" "h" "6"
89 "c" "h" "6"
104 "p" "h" "6"
85 "b" "l" "6"
84 "c" "l" "6"
89 "p" "l" "6"
56 "b" "h" "7"
70 "c" "h" "7"
72 "p" "h" "7"
64 "b" "l" "7"
62 "c" "l" "7"
63 "p" "l" "7"
97 "b" "h" "8"
91 "c" "h" "8"
92 "p" "h" "8"
80 "b" "l" "8"
72 "c" "l" "8"
82 "p" "l" "8"
80 "b" "h" "9"
63 "c" "h" "9"
87 "p" "h" "9"
82 "b" "l" "9"
81 "c" "l" "9"
63 "p" "l" "9"
103 "b" "h" "10"
102 "c" "h" "10"
112 "p" "h" "10"
83 "b" "l" "10"
93 "c" "l" "10"
81 "p" "l" "10"
