"Diet" "Tank" "WtGain"
1 1 8.8
1 1 6.5
1 1 -1.1
1 1 1.3
1 1 -0.6
1 1 2.1
1 2 5.7
1 2 4
1 2 -2.1
1 2 2.3
1 2 2.1
1 2 7.5
1 3 -0.7
1 3 11.2
1 3 -0.7
1 3 11
1 3 8.4
1 3 5
1 4 3.4
1 4 6.7
1 4 11.3
1 4 4
1 4 2.6
1 4 2.8
2 5 31
2 5 15.7
2 5 40.8
2 5 33.8
2 5 24.9
2 5 31.4
2 6 10.5
2 6 25.3
2 6 18.6
2 6 19.7
2 6 20.7
2 6 25.2
2 7 21.7
2 7 15.9
2 7 22.8
2 7 21.5
2 7 11.7
2 7 17.7
2 8 38.6
2 8 25.7
2 8 32.3
2 8 28.2
2 8 28.6
2 8 27.2
3 9 49.1
3 9 39.7
3 9 45.9
3 9 48.6
3 9 32.3
3 9 60.2
3 10 61.7
3 10 29.1
3 10 49.1
3 10 59.2
3 10 45.8
3 10 37.8
3 11 58.9
3 11 43.2
3 11 56.5
3 11 47.5
3 11 32.2
3 11 62.4
3 12 59.4
3 12 49.4
3 12 42.3
3 12 47
3 12 48.4
3 12 51.8
