genotype	biorep	intensityLog2
WT	WT_n3	27.73899829479104
WT	WT_n3	27.47127710055605
WT	WT_n3	27.70466276288673
WT	WT_n4	27.47250570775804
WT	WT_n4	27.581317039916797
WT	WT_n4	27.558207376070666
WT	WT_n5	27.543484622268704
WT	WT_n5	27.539972453068536
WT	WT_n5	27.63348991466376
D8	D8_n3	27.138837496845518
D8	D8_n3	27.33571438795539
D8	D8_n3	27.284016437919156
D8	D8_n4	27.320429208299558
D8	D8_n4	27.42847642938896
D8	D8_n4	27.536188438647432
D8	D8_n5	27.342530127195516
D8	D8_n5	27.38900643646286
D8	D8_n5	27.449171357851075
